# SNID:                      ZTF18aabstmw             
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              58184.00
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          1800.0  
# SPECTRUM_STAT_SNR:         -9.00   
# SPECTRUM_SYS_SNR:          200.00  
# SPECTRUM_VEXP:             1.534e-03
# SPECTRUM_NLAM:             208   
# SPECTRUM_INFILE:           ZTF18aabstmw_58184.00_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    7124.70  1.35380e-16 -9.90000e+01  6.76900e-19
    7159.10  1.34120e-16 -9.90000e+01  6.70600e-19
    7193.80  1.31450e-16 -9.90000e+01  6.57250e-19
    7228.70  1.20740e-16 -9.90000e+01  6.03700e-19
    7263.80  1.16280e-16 -9.90000e+01  5.81400e-19
    7299.20  1.21910e-16 -9.90000e+01  6.09550e-19
    7334.90  1.22360e-16 -9.90000e+01  6.11800e-19
    7370.80  1.27420e-16 -9.90000e+01  6.37100e-19
    7407.00  1.28070e-16 -9.90000e+01  6.40350e-19
    7443.40  1.17920e-16 -9.90000e+01  5.89600e-19
    7480.10  1.14700e-16 -9.90000e+01  5.73500e-19
    7517.00  1.07520e-16 -9.90000e+01  5.37600e-19
    7554.20  9.84940e-17 -9.90000e+01  4.92470e-19
    7591.70  8.03980e-17 -9.90000e+01  4.01990e-19
    7629.40  7.06890e-17 -9.90000e+01  3.53445e-19
    7667.40  6.66490e-17 -9.90000e+01  3.33245e-19
    7705.60  6.45670e-17 -9.90000e+01  3.22835e-19
    7744.10  6.86140e-17 -9.90000e+01  3.43070e-19
    7782.90  7.82840e-17 -9.90000e+01  3.91420e-19
    7822.00  8.61060e-17 -9.90000e+01  4.30530e-19
    7861.30  9.43750e-17 -9.90000e+01  4.71875e-19
    7900.90  9.98120e-17 -9.90000e+01  4.99060e-19
    7940.70  1.04160e-16 -9.90000e+01  5.20800e-19
    7980.90  1.11920e-16 -9.90000e+01  5.59600e-19
    8021.30  1.08240e-16 -9.90000e+01  5.41200e-19
