# SNID:                      ZTF18aaaooqj             
# SPECTRUM_ID:               2
# SPECTRUM_MJD:              60709.04
# SPECTRUM_TELESCOPE:        LT
# SPECTRUM_INSTRUMENT:       SPRAT
# SPECTRUM_TEXPOSE:          1200.0  
# SPECTRUM_STAT_SNR:         1.90    
# SPECTRUM_SYS_SNR:          11.44   
# SPECTRUM_VEXP:             4.027e-03
# SPECTRUM_NLAM:             891   
# SPECTRUM_OBSERVERS:        Daniel Perley, Jacob Wise, K-Ryan Hinds, Aleksandra Bochenek, Zoe McGrath
# SPECTRUM_INFILE:           ZTF18aaaooqj_60709.04_SPRAT.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    5268.75  1.14400e+00  5.59260e-01  1.16823e-01
    5273.40  8.76170e-01  6.00180e-01  1.16499e-01
    5278.05  8.35560e-01  5.79190e-01  1.15885e-01
    5282.69  8.87990e-01  6.05450e-01  1.15293e-01
    5287.34  8.08760e-01  5.61500e-01  1.14639e-01
    5291.99  8.93320e-01  6.47980e-01  1.13825e-01
    5296.65  7.94640e-01  6.40560e-01  1.12554e-01
    5301.30  9.69380e-01  5.81000e-01  1.11798e-01
    5305.95  9.21520e-01  5.68110e-01  1.11040e-01
    5310.61  8.64850e-01  7.07510e-01  1.10076e-01
    5315.26  9.86980e-01  6.47490e-01  1.09018e-01
    5319.92  8.51040e-01  6.39340e-01  1.08183e-01
    5324.58  1.02249e+00  6.14420e-01  1.06911e-01
    5329.23  8.81900e-01  6.36420e-01  1.05289e-01
    5333.89  9.19080e-01  6.22210e-01  1.04080e-01
    5338.55  9.67940e-01  6.01280e-01  1.02635e-01
    5343.21  1.03112e+00  5.87800e-01  1.01433e-01
    5347.88  8.11700e-01  6.36760e-01  1.00254e-01
    5352.54  8.30090e-01  5.82770e-01  9.88992e-02
    5357.20  8.68480e-01  5.89760e-01  9.72534e-02
    5361.87  9.61070e-01  6.37780e-01  9.63298e-02
    5366.53  1.06455e+00  5.62880e-01  9.48946e-02
    5371.20  8.48740e-01  5.76880e-01  9.35144e-02
    5375.87  8.43130e-01  6.18640e-01  9.24350e-02
    5380.54  8.28330e-01  6.14490e-01  9.09593e-02
    5385.20  8.48500e-01  6.66930e-01  8.96782e-02
    5389.87  9.67120e-01  5.78290e-01  8.84979e-02
    5394.55  1.03529e+00  5.44970e-01  8.73849e-02
    5399.22  9.07110e-01  5.24230e-01  8.59859e-02
    5403.89  9.68690e-01  5.65050e-01  8.51783e-02
    5408.56  8.93600e-01  5.54040e-01  8.41709e-02
    5413.24  8.36150e-01  5.78600e-01  8.35048e-02
    5417.91  9.62680e-01  5.58650e-01  8.21755e-02
    5422.59  1.01429e+00  5.62620e-01  8.16087e-02
    5427.27  9.42660e-01  5.59720e-01  8.04419e-02
    5431.94  9.52930e-01  5.75090e-01  7.97032e-02
    5436.62  9.93210e-01  6.06100e-01  7.93931e-02
    5441.30  8.88610e-01  5.84180e-01  7.90898e-02
    5445.98  9.52410e-01  6.00010e-01  7.80998e-02
    5450.66  1.00137e+00  5.57580e-01  7.83602e-02
    5455.35  1.09033e+00  5.63680e-01  7.78900e-02
    5460.03  1.09612e+00  5.91000e-01  8.16267e-02
